Nom Officiel Département,revenu_median_60_74,hopital_court_sejour,services_urgence,dispensaire,soins_domicile_personnes_agees,aide_menagere_personnes_agees,foyer_restaurant_personnes_agees,repas_domicile_personnes_agees,revenu_median_75_plus,access_med_generalistes,60_74_appart_ascenseur,60_74_appart_sans_ascenseur,60_74_menage_2ans,60_74_autre_logement,60_74_menage_30ans_plus,60_74_en_maison,60_74_isoles,60_74_menage_peu_diplome,60_74_menage_immigre,60_74_proprietaires,femmes_60_74_isolees,60_74_sans_voiture,femmes_75_plus_isolees,75_plus_appart_ascenseur,75_plus_autre_logement,75_plus_menage_30ans_plus,75_plus_en_maison,75_plus_menage_peu_diplome,75_plus_menage_immigre,75_plus_proprietaires,75_plus_sans_voiture
Nièvre,326390.0,10,4,14,21,54,1,1,289590.0,791.041317888,1634.0,4054.0,3215.0,117.0,17686.0,39238.0,11802.0,16932.0,2529.0,36973.0,7115.0,3464.0,9423.0,1583.0,184.0,14271.0,22252.0,17158.0,992.0,21677.0,7344.0
Nord,5170670.0,57,23,92,72,74,0,5,4013360.0,2874.794,33895.0,30884.0,21843.0,1465.0,167191.0,297919.0,87930.0,159129.0,30218.0,264876.0,59900.0,50408.0,67413.0,23330.0,2764.0,105730.0,141688.0,119954.0,13382.0,130056.0,69567.0
Oise,1778600.0,15,7,10,15,31,0,0,1156120.0,2137.422387394,6706.0,16676.0,6960.0,734.0,53164.0,95520.0,25584.0,51802.0,11525.0,92172.0,16836.0,10421.0,17461.0,4960.0,623.0,30682.0,40777.0,34604.0,3623.0,41458.0,15837.0
Orne,589250.0,10,7,11,13,41,1,0,514150.0,1151.363713103,1105.0,4230.0,3821.0,176.0,21990.0,47954.0,12488.0,23845.0,2480.0,42689.0,7570.0,3622.0,10481.0,1670.0,365.0,16101.0,27220.0,23446.0,814.0,24980.0,7950.0
Pas-de-Calais,3136310.0,23,11,88,52,18,24,18,2494450.0,3456.956418389,9728.0,14142.0,13585.0,1017.0,109298.0,200484.0,50995.0,104605.0,6702.0,165304.0,34658.0,26473.0,42802.0,6609.0,1206.0,68864.0,99161.0,82382.0,3787.0,79844.0,43095.0
Puy-de-Dôme,1314310.0,13,7,18,23,53,0,0,1026330.0,1392.315827673,10860.0,12217.0,6597.0,343.0,48098.0,87556.0,28277.0,40086.0,9345.0,90685.0,17720.0,8016.0,19982.0,7402.0,510.0,35296.0,43702.0,35572.0,3934.0,47927.0,16712.0
Pyrénées-Atlantiques,1343640.0,18,9,14,26,211,16,30,1070700.0,1908.115192591,14998.0,18666.0,10030.0,348.0,46523.0,84777.0,29783.0,34097.0,9081.0,94408.0,19124.0,7404.0,22872.0,12924.0,395.0,40273.0,47574.0,39251.0,5164.0,56700.0,17629.0
Pyrénées-Orientales,1226030.0,9,7,6,16,60,8,0,1103180.0,804.642,5996.0,15607.0,10498.0,397.0,21126.0,68972.0,23492.0,32053.0,10960.0,70939.0,14812.0,7199.0,17028.0,5264.0,287.0,22080.0,39860.0,32521.0,7603.0,43263.0,15683.0
Rhône,3304130.0,31,12,32,37,117,46,9,2534760.0,894.610469688,48162.0,28689.0,12112.0,892.0,70492.0,107088.0,43956.0,67714.0,27224.0,135156.0,29274.0,18975.0,33165.0,33562.0,1605.0,55949.0,50070.0,60757.0,12203.0,72915.0,30939.0
Sarthe,1288790.0,11,7,14,14,21,7,1,894850.0,1037.252713781,5728.0,6147.0,6123.0,388.0,38540.0,81551.0,21097.0,38594.0,2889.0,76336.0,13414.0,6813.0,17936.0,5375.0,1011.0,26462.0,44314.0,37278.0,862.0,43535.0,15566.0
Savoie,1227640.0,9,9,8,27,43,0,0,902830.0,928.08650088,11404.0,13232.0,5031.0,251.0,26593.0,44490.0,17907.0,22032.0,5998.0,54592.0,11215.0,4694.0,12294.0,8691.0,517.0,21290.0,21698.0,21540.0,3109.0,29731.0,10601.0
